Name of the interviewer,Select village,What category of respondent are you interviewing?,"1. Introduce yourself (say your name and where you have come from)
2. Introduce the project, stating that it is a stuent project and that you are mainly interested in their preferences for different meat, including beef and chicken.
3. Hand out the consent form. Continue if they agree to partake and thus sign the form.",What is the respondent's sex?,What is the respondent's ethnicity?,What is the year of birth of the respondent?,African brush-tailed porcupine,African buffalo,African civet (bush dog),African clawless otter,African dwarf crocodile,African elephant,African golden cat,African palm civet (civet),African palm weevil,African slender-snouted crocodile,Aquatic snails (nkonkor),Ball python,Bat,Bates' pygmy antelope,Bay duiker,Beef (cow),Black guineafowl,Black-bellied pangolin,Blue duiker (frutambo),Bushfowl,Calabar angwantibo,Cameroon red-eared monkey,Carp,Catfish,Central African rock python,Chameleon,Chicken,Chicken egg,Chimpanzee,Cobra,Common periwinkle,Cricket,Cross River gorilla,Crowned monkey,Cusimanse,Dog,Dried anchovies,Drill,Duck,Eagle,Freshwater crab,Freshwater shrimp and prawn,Frog and toads,Gaboon viper,Galago (or bushbaby),Genet (crested and Cape),Giant ground pangolin,Giant land snail,Giant pouched rat,Goat,Grasshopper,Greater cane rat (cutting grass),Guinea-pig,Harnessed bushbuck,Hawk and Kite,Helmeted guineafowl,Hornbill,Hyrax,Leopard,Lobster,Mamba,Mona monkey,Mongoose,Nile crocodile,Nile Monitor,Ogilby's duiker,Owl,Parrot,Patas monkey,Pigeon,Pork,Potto,Preuss's monkey,Preuss's red colobus (Colobus monkey),Putty-nosed monkey,Rabbit,Ratel (honey badger),Red river hog,Red-capped mangabey,Sardine and pilchard,Sclater's monkey,Sheep,Shrew (okornor),Sitatunga,Small bird,Spotted-necked otter,Squirrel,Stock fish,Termite,Tilapia,Tortoise,Turaco,Turkey,Turtle,Vulture,Water chevrotain,West African mackerel (ice fish),White-bellied pangolin,Yellow-backed duiker,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
Ben,Bamba,Hunter,Yes,Male,Boki,1987,9,999,999,999,999,999,999,7,10,999,4,8,999,999,999,9,999,10,4,999,999,7,8,8,9,999,10,10,999,999,9,999,999,999,999,8,6,999,999,999,2,3,999,8,999,999,999,10,8,8,999,10,999,999,999,5,999,999,999,9,6,999,999,999,4,999,999,999,999,999,10,999,999,999,999,999,999,10,6,999,999,999,999,999,999,999,9,9,6,999,999,999,999,999,999,8,9,10,999,184801222,d2658036-e386-4530-aa9f-94cba0d29ad9,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,319
Dominic,Butatong,Market,Yes,Female,Boki,1987,10,999,7,999,10,999,999,10,999,10,10,10,8,6,6,3,999,10,9,999,999,10,10,9,10,999,8,6,999,999,10,999,999,999,7,999,3,999,999,999,9,10,999,10,9,7,999,10,999,3,999,9,999,7,999,9,8,999,999,10,999,10,999,999,10,8,999,999,999,9,6,10,999,999,999,999,999,10,999,999,999,999,999,999,999,999,10,3,999,999,999,8,8,3,999,7,3,10,999,185099378,74c4e578-4a01-4db2-aecd-3c9099c96958,16/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,325
Dominic,Okwangwo,Market,Yes,Male,Bahumono,1987,9,999,5,999,4,999,999,5,999,999,5,5,2,999,999,6,999,999,4,999,999,999,999,10,999,999,7,6,999,5,5,2,999,999,5,10,5,999,999,999,5,9,5,999,999,9,999,9,3,6,1,8,999,999,999,5,999,999,999,5,6,7,999,999,5,999,2,999,999,999,1,999,999,999,999,999,999,10,999,999,999,2,999,999,999,999,5,10,2,999,9,999,5,6,999,999,10,10,999,187221288,71b214c6-b1b9-48b8-b40c-489538f8e24c,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,336
Ebri,Okwa II,Household,Yes,Female,Boki,1987,8,999,999,8,2,3,4,8,999,7,1,6,3,9,4,4,1,10,6,5,1,999,10,10,6,999,10,7,999,999,1,999,6,999,7,999,2,9,4,999,2,2,999,6,5,8,999,1,8,4,999,8,999,3,999,5,5,999,3,2,6,1,5,10,4,9,999,3,999,999,10,9,999,999,999,5,999,4,999,4,999,999,7,999,8,2,8,4,1,4,8,999,3,4,999,999,9,10,6,187241900,18fd032e-54cd-4452-8996-7dd39910f786,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,455
Ebri,Okwa II,Household,Yes,Female,Boki,1987,8,999,7,999,3,4,7,7,999,999,10,2,999,999,3,9,999,9,5,4,3,999,3,9,2,999,10,10,999,999,9,999,999,999,3,999,10,999,1,999,10,10,999,999,6,999,999,10,8,3,999,8,999,4,999,3,5,999,999,10,999,999,999,999,6,5,999,999,999,999,999,999,999,999,6,999,999,9,999,2,3,999,10,999,999,999,6,10,999,1,8,999,1,999,999,999,6,7,1,187241994,a0342267-97c1-453a-a09a-84759f91ceb9,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,462
Ben,Okwa II,Hunter,Yes,Male,Boki,1987,9,10,999,999,10,10,999,10,999,7,10,10,10,999,6,10,10,999,999,8,999,3,8,8,10,999,10,7,10,10,999,999,10,999,4,10,9,10,10,7,10,10,999,10,3,999,10,10,3,10,999,9,999,1,999,10,10,999,999,10,10,10,6,999,10,999,7,999,999,999,10,4,999,999,10,999,999,10,2,999,999,999,10,999,999,1,6,2,999,9,5,999,1,999,999,10,1,10,999,187290535,26bf57a4-d4f9-45e0-a669-68c658cae281,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,541
Dominic,Mkpot 1,Market,Yes,Female,Ejagham,1988,3,999,999,999,999,4,999,3,4,9,1,9,2,999,9,4,999,999,999,999,2,999,1,3,999,999,9,9,999,999,1,1,999,999,10,6,1,999,999,999,1,10,999,999,999,999,7,6,2,4,999,7,999,999,999,10,2,999,999,999,999,999,999,2,999,999,999,999,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,2,1,1,999,5,999,999,999,999,9,5,7,999,177435447,1e838d67-8f3d-4b12-900e-be6d7822639c,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,48
Dominic,Mkpot 1,Market,Yes,Female,Ejagham,1988,8,999,999,999,999,999,999,999,2,999,999,999,999,999,999,7,999,999,999,999,999,999,6,6,6,999,10,8,999,999,1,999,999,3,5,10,1,999,999,999,9,10,999,999,999,999,999,9,8,8,999,9,999,6,999,5,999,999,999,7,999,6,999,999,999,5,999,999,999,999,6,5,999,999,999,999,999,6,999,999,999,999,999,999,999,999,999,2,1,6,2,999,999,999,999,999,7,8,999,177435478,f72b46d0-d7ac-4c61-9d9c-5da814ca20eb,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,64
Ebri,Mkpot 1,Household,Yes,Female,Ejagham,1988,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,2,999,999,999,999,4,999,999,10,3,999,999,3,999,999,999,999,4,999,999,999,999,999,999,999,999,999,999,999,6,999,4,999,999,999,999,999,999,999,999,999,999,999,9,999,999,999,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,5,999,999,999,999,999,999,8,999,177720948,3ae034b0-a15a-4b04-b05e-5f2e71deb3af,22/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,67
Ebri,Aningeje,Household,Yes,Female,Ejagham,1988,1,999,999,999,999,999,999,999,999,999,4,999,999,999,999,6,999,999,999,999,999,999,7,3,999,999,5,1,999,999,8,999,999,999,5,999,2,999,1,999,2,10,999,999,999,999,999,6,4,10,999,8,999,7,999,999,999,999,999,999,999,999,999,999,5,999,999,999,999,999,2,999,999,999,999,999,999,4,999,999,999,999,999,999,999,999,999,9,999,999,999,999,999,999,999,999,999,9,999,181085990,7aafada6-d5d5-4164-9065-20595712c3cf,03/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,97
Ben,Ifumkpa,Hunter,Yes,Male,Ejagham,1988,10,999,9,9,9,999,999,9,10,10,8,10,999,5,5,5,8,10,6,999,999,8,10,10,10,999,10,10,999,999,10,999,999,999,7,8,8,9,999,999,8,10,999,10,999,999,999,10,5,8,1,10,999,999,999,5,2,999,999,9,999,999,999,999,9,9,999,999,999,999,10,999,999,999,9,999,999,10,999,4,999,999,999,999,999,999,10,10,10,10,999,999,999,999,999,10,10,10,999,182830070,5b90f1ff-0bca-4525-b192-3efdf2a86c05,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,137
Ebri,Aningeje,Household,Yes,Female,Igede,1988,9,999,999,999,999,999,999,999,999,999,999,999,999,999,9,999,999,2,9,999,999,999,1,10,999,999,10,10,999,999,10,999,999,999,999,999,6,999,999,999,10,10,999,999,999,999,999,999,999,9,1,10,999,7,999,999,999,6,999,10,999,1,999,999,999,6,999,999,999,999,4,999,999,999,999,999,999,999,999,999,999,999,9,999,999,999,999,10,999,999,999,999,999,999,999,999,999,2,999,182834478,876b7650-8c65-43cb-9589-4b5bb6334559,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,138
Ebri,Obung,Household,Yes,Female,Ejagham,1988,9,999,999,999,999,999,999,999,999,999,999,999,999,999,3,9,999,1,999,999,999,999,10,8,999,999,10,6,999,999,999,999,999,999,4,6,5,999,3,999,4,6,999,999,999,999,999,10,2,10,999,7,999,999,999,5,999,999,999,6,999,999,999,999,1,3,999,999,999,999,10,999,999,999,999,999,999,8,999,999,999,999,2,999,999,999,999,10,7,2,999,999,8,999,999,999,999,7,5,182837287,2b65c24d-ebda-4353-8b54-1b0900d92009,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,150
Dominic,Ifumkpa,Market,Yes,Female,Ibibio,1988,7,10,999,999,999,999,9,9,999,999,7,999,999,9,999,9,6,10,3,9,999,999,1,10,999,999,10,10,10,999,9,999,999,999,999,10,7,999,999,999,1,9,999,999,999,999,10,7,999,1,999,10,999,9,6,9,6,999,999,9,999,10,999,999,999,999,999,999,999,2,999,999,10,10,10,999,1,2,10,999,999,999,999,999,999,999,999,2,2,999,3,7,3,1,999,999,9,10,999,183369194,05aed307-1dd1-4dae-a6f9-01c53a3eda74,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,191
Dominic,Iko Esai,Market,Yes,Male,Other,1988,4,999,999,999,999,999,999,999,999,999,3,9,9,999,999,8,999,999,7,999,999,999,1,10,9,999,2,5,999,9,3,3,999,999,6,4,999,999,999,999,3,3,6,9,999,6,999,5,999,8,999,7,999,8,7,2,7,999,999,999,999,999,999,9,999,999,7,999,999,999,999,999,999,999,999,999,999,8,999,999,999,999,999,999,999,999,999,1,3,10,9,999,2,999,999,999,9,6,999,183369293,0a1381cb-5268-45e7-8876-45c5f9bc546f,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,202
Ben,Agoi Ibami,Hunter,Yes,Male,Yakurr,1988,9,2,1,5,3,999,9,10,9,8,4,4,999,8,7,3,1,10,8,6,1,10,2,5,6,999,6,7,1,1,4,999,999,1,10,8,1,8,1,999,1,5,999,2,7,7,999,5,4,3,999,7,999,3,4,9,4,1,999,1,4,1,9,999,9,1,999,999,999,999,9,7,999,1,1,999,1,10,1,7,999,1,1,3,999,5,7,2,1,8,9,6,4,1,999,1,8,10,1,183501837,e5a1f04b-c24a-48a0-be91-1f8d523481c3,12/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,235
Ben,Ochon,Hunter,Yes,Male,Other,1988,10,999,10,999,999,999,7,7,8,999,9,10,10,9,7,7,999,10,9,10,999,10,10,10,10,999,10,10,7,9,10,8,999,8,10,999,6,5,10,5,10,10,10,10,7,10,999,10,10,10,5,10,999,5,8,10,999,999,999,10,9,8,7,999,10,999,999,999,999,999,3,999,999,10,999,7,999,10,8,4,999,10,5,999,7,999,8,7,9,8,10,8,999,10,999,7,6,10,999,184801024,4e5c19cf-a27e-4965-bd0c-87338ac358a0,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,299
Ben,Abo Ogbagante,Hunter,Yes,Male,Boki,1988,10,10,4,8,3,7,4,4,8,6,9,8,2,10,10,3,5,10,4,8,2,4,9,9,7,999,10,10,7,7,10,1,999,1,10,10,9,7,8,5,1,3,999,7,7,4,999,9,6,10,9,10,999,7,1,2,5,3,999,1,7,2,999,999,6,2,8,999,999,5,8,6,999,4,8,4,999,10,6,2,999,7,999,8,8,3,4,10,9,8,2,5,5,2,999,8,9,10,2,184801097,0d125a2b-cb1a-47aa-8f0f-716a46801620,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,303
Dominic,Okwangwo,Market,Yes,Female,Boki,1988,10,999,9,1,7,10,999,8,999,5,8,10,999,9,10,7,2,10,9,2,999,10,10,10,2,999,8,8,5,4,8,999,999,999,8,9,10,999,999,999,10,9,999,10,2,999,999,10,9,8,999,10,999,2,7,9,5,999,999,10,2,10,999,999,4,2,999,999,999,999,7,999,2,999,10,2,999,10,5,999,999,9,999,999,999,2,9,10,999,999,999,2,999,999,999,9,8,10,999,187221296,81fcd0c6-b887-460f-9af1-fac564a710b6,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,337
Dominic,Okwa I,Market,Yes,Female,Boki,1988,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,10,999,999,6,1,999,999,10,8,999,999,10,10,999,999,7,999,999,999,2,999,999,999,999,999,4,10,999,999,999,999,999,7,999,999,999,3,999,999,999,5,999,999,999,10,999,999,999,999,999,999,999,999,999,999,9,999,999,999,999,999,999,9,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,10,999,999,187221626,da86c86a-95df-479a-b757-2796ff3cc0d2,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,360
Ebri,Okwa I,Household,Yes,Female,Boki,1988,5,999,999,999,999,8,999,7,999,999,999,10,999,10,4,999,999,3,999,999,999,999,10,9,1,999,10,10,999,8,9,999,999,6,6,999,999,6,999,999,10,10,999,9,999,9,999,999,10,10,999,999,999,7,999,8,4,999,7,10,999,1,999,999,10,999,999,999,999,999,999,999,999,999,999,999,999,2,999,999,999,3,999,2,999,999,999,999,999,999,2,999,999,2,999,999,9,5,999,187241664,2b2c1a13-c9db-4862-a550-1444bcaf9d25,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,436
Ben,Okwa II,Hunter,Yes,Male,Boki,1988,10,999,999,999,1,999,999,10,999,999,999,999,5,10,999,9,999,10,10,1,999,999,10,10,9,999,10,999,10,999,7,999,999,10,999,10,999,999,2,999,4,999,999,9,999,999,10,10,999,999,999,3,999,1,999,999,999,999,999,10,1,10,999,999,10,6,999,999,999,9,1,1,999,999,10,999,999,10,999,999,999,999,999,999,999,999,999,8,999,8,999,999,1,10,999,999,5,10,999,187290440,dd422f64-ddb9-4d9c-af06-2971c0616528,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,533
Ebri,Okarara,Household,Yes,Female,Ejagham,1989,9,999,999,999,1,1,999,999,999,5,9,999,7,8,5,7,5,8,6,999,5,999,5,7,999,999,6,7,999,999,6,8,999,999,6,7,6,999,7,999,6,8,5,999,4,2,999,8,7,8,1,9,999,1,999,4,5,999,999,8,999,5,6,999,5,5,999,5,8,5,8,999,999,999,4,5,3,4,3,5,999,999,8,999,4,6,4,5,4,6,2,999,2,1,999,999,7,8,999,176888232,bb432f08-505a-4b32-b1c5-ebdfc53b7d1b,18/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,25
Ben,Mkpot 1,Hunter,Yes,Male,Ejagham,1989,10,999,1,999,1,9,999,8,999,999,999,1,999,999,999,10,999,10,999,999,999,10,10,10,1,999,10,10,8,1,7,999,999,10,999,10,999,10,999,999,1,9,999,1,999,8,999,9,9,8,999,10,999,999,999,999,999,999,999,9,999,10,10,999,1,8,999,999,999,999,8,1,999,10,10,999,999,10,10,10,999,999,999,999,999,999,999,10,10,10,1,999,999,999,999,999,5,10,999,177420254,2c1a5465-4278-499d-8ba1-4a95b100519c,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,35
Ben,Mkpot 1,Hunter,Yes,Male,Ejagham,1989,10,999,999,999,7,10,999,9,999,9,5,10,5,999,6,5,5,10,6,999,4,10,10,10,10,999,8,10,999,10,5,999,999,10,8,10,5,10,999,999,5,10,999,10,5,2,999,10,9,8,999,7,999,999,999,5,5,999,999,10,10,10,5,999,8,5,999,999,999,999,10,5,999,999,10,999,999,10,10,3,999,999,999,999,999,999,8,7,9,8,9,8,999,999,999,999,8,10,999,177420292,1f1b379f-2784-4b7f-8415-d3b0d5ef76f3,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,43
Dominic,Mkpot 1,Market,Yes,Female,Ibibio,1989,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,8,999,999,999,999,999,999,7,8,999,999,10,8,999,999,2,999,999,999,999,10,1,999,999,999,9,9,999,999,7,999,999,9,9,9,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,8,6,999,999,999,999,999,8,999,999,999,999,999,999,999,999,999,3,999,999,999,999,999,999,999,999,8,999,999,177435481,663d188b-a659-4757-9c2b-9965522897e4,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,66
Ebri,Aningeje,Household,Yes,Female,Ejagham,1989,10,1,999,999,4,1,999,999,999,2,1,999,999,10,10,9,999,10,10,999,999,10,10,10,999,999,10,10,999,999,2,1,999,10,8,999,3,999,10,999,9,10,999,999,999,999,999,10,999,9,999,10,999,10,999,4,4,999,999,10,999,10,999,999,999,10,999,999,999,999,999,999,999,999,10,4,999,9,999,999,999,999,1,10,999,999,1,5,999,999,4,999,999,2,999,999,999,10,999,181085998,a1fb932b-75b3-4f6e-b115-bb9259030328,03/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,99
Ben,Obung,Hunter,Yes,Male,Ejagham,1989,10,5,10,2,8,10,10,10,5,10,5,10,3,7,5,5,6,10,6,8,6,9,4,8,10,999,9,10,9,10,8,999,10,8,9,10,8,10,5,999,6,7,999,10,2,7,999,10,9,9,999,10,999,8,999,10,999,999,999,10,999,10,9,999,10,8,999,999,999,999,9,8,7,7,8,999,999,10,9,5,999,999,999,999,999,999,5,6,9,7,9,5,999,999,999,999,8,10,999,182829940,a415c5a2-2b2f-4add-a477-3bbe138d762d,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,126
Ebri,Iko Esai,Household,Yes,Female,Ejagham,1989,10,999,999,999,10,999,8,10,999,999,8,9,10,999,999,999,999,9,999,999,9,999,10,10,9,999,9,10,999,8,10,999,999,999,9,999,5,999,10,999,9,10,999,7,5,999,999,9,10,8,999,10,999,9,999,5,999,999,999,10,999,999,999,9,10,5,10,999,999,999,999,999,999,999,999,999,999,8,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,5,10,999,183360181,722010a6-f1f2-4dde-8678-ca7e1eb9ebd5,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,164
Dominic,Bamba,Market,Yes,Female,Boki,1989,10,999,7,999,999,999,999,10,999,7,999,10,5,10,999,10,999,10,10,999,999,999,7,10,10,999,10,10,999,999,999,999,999,999,999,10,10,999,999,999,10,10,999,999,999,999,999,999,7,7,999,10,999,10,999,999,7,999,999,999,10,999,999,999,999,999,999,999,999,999,7,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,10,999,999,999,7,999,999,999,10,10,7,999,184795193,4bc218e4-6336-4067-a5d7-e6d757db2843,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,291
Dominic,Bamba,Market,Yes,Female,Boki,1989,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,5,999,999,999,999,999,999,999,6,999,999,9,7,999,999,3,999,999,999,999,9,1,999,999,999,999,9,999,999,999,999,999,10,8,10,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,3,999,999,999,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,5,1,999,999,999,999,999,999,999,4,999,999,184795217,2439bcf6-f1c4-4841-ab23-c3be24f93641,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,296
Ben,Abo Ogbagante,Household,Yes,Male,Boki,1989,10,999,999,999,999,999,999,8,5,999,2,9,999,999,7,5,999,9,4,3,999,4,5,6,7,999,5,999,999,999,5,999,999,2,999,6,2,999,999,999,999,4,999,6,999,999,999,7,8,5,999,9,999,999,999,999,999,999,999,5,6,999,999,999,4,5,999,999,999,999,8,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,6,4,3,5,999,999,999,999,999,999,8,10,999,184801206,a20696bf-a610-4f2d-af06-8740d1b2f8bc,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,316
Dominic,Okwa I,Market,Yes,Female,Boki,1989,1,999,999,999,999,999,999,999,10,999,8,999,999,999,999,999,999,999,999,999,999,999,9,3,999,999,2,999,999,999,10,999,999,999,999,999,6,999,999,999,4,7,999,999,999,999,999,8,6,999,999,7,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,5,999,999,999,999,999,999,999,999,999,999,999,9,5,999,999,999,999,999,8,999,999,187221663,ccdb0a6c-785d-4ae4-8b32-7a0552b3a224,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,364
Ebri,Okwa I,Household,Yes,Female,Boki,1989,5,999,999,999,999,5,999,999,999,999,10,6,999,999,6,10,9,10,9,6,3,3,10,10,6,999,10,9,999,999,9,1,999,999,6,1,6,999,1,999,6,10,999,999,999,999,999,6,10,10,999,6,999,9,999,9,999,999,999,1,999,1,999,999,9,5,999,999,999,999,7,999,999,999,999,999,999,6,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,187241869,78b76b1f-ba2f-4a6c-8c14-7aeef4f85de8,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,452
Ebri,Okwa II,Household,Yes,Female,Boki,1989,5,999,999,999,999,2,999,5,999,1,7,8,999,999,6,8,999,7,9,5,999,999,10,10,999,999,9,10,999,999,7,999,999,999,6,999,999,999,7,999,4,5,999,5,999,999,999,3,999,10,999,7,999,6,999,5,1,999,999,4,9,999,999,7,999,6,999,999,999,999,7,999,999,999,6,999,999,1,999,5,999,999,5,999,1,3,1,2,1,5,3,999,999,9,999,6,8,9,1,187242026,88084d8d-7f5b-4b8a-b565-e2efc14be175,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,467
Ben,Okwangwo,Hunter,Yes,Male,Boki,1989,10,1,7,999,8,8,999,10,7,8,7,4,8,9,9,10,5,10,9,999,9,10,10,10,4,999,10,10,10,999,7,999,999,10,6,8,7,999,999,999,7,10,999,4,6,5,999,10,10,9,999,3,999,999,999,6,8,5,999,10,5,10,6,999,9,9,999,999,999,999,8,9,999,10,10,999,999,10,10,7,999,999,3,999,999,999,10,5,999,999,2,999,6,8,999,8,7,10,999,187290273,79fb1da3-aad8-43d5-a2c7-360005f00764,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,507
Ben,Okwa I,Hunter,Yes,Male,Boki,1989,10,6,999,999,999,6,999,6,999,999,10,7,999,2,999,9,3,999,999,10,999,999,10,10,7,999,10,10,999,7,8,999,999,999,1,9,999,999,999,999,10,10,999,7,999,999,999,10,8,9,999,4,999,999,999,5,3,999,999,7,999,999,2,999,7,8,999,999,999,999,1,999,999,999,999,9,999,10,999,999,999,999,2,999,999,999,4,10,999,10,5,1,999,999,999,999,8,2,999,187290328,3ed2b83e-f58e-4285-90b1-200b6e2d5c7f,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,517
Ben,Okwa II,Hunter,Yes,Male,Boki,1989,999,999,999,9,999,999,999,999,999,4,10,999,999,9,999,999,5,999,6,9,8,999,9,10,999,999,10,10,999,999,10,999,999,999,1,1,5,999,1,999,10,10,999,999,999,999,999,10,2,1,999,1,999,5,999,8,999,999,999,3,999,999,999,999,999,6,999,999,999,999,10,999,999,999,999,9,999,7,999,999,999,7,3,999,999,2,5,10,999,9,3,999,10,999,999,10,1,999,999,187290572,4d90a260-eab8-45d7-a564-353733153803,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,544
Ben,Okarara,Hunter,Yes,Male,Ejagham,1990,10,999,4,1,3,999,999,1,999,1,1,10,3,999,3,4,999,5,4,999,3,5,10,10,1,999,10,10,4,999,10,3,999,5,10,2,10,4,999,999,4,10,999,999,999,4,5,10,3,3,999,10,999,999,999,999,999,999,999,999,999,3,999,999,1,999,999,999,999,999,5,5,999,999,999,999,4,5,5,4,999,999,999,999,999,999,999,5,1,1,5,999,1,999,999,999,2,5,999,176888015,73c8ec23-caa6-47ff-bad7-37f8b5717eb6,18/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,15
Ebri,Okarara,Household,Yes,Female,Ejagham,1990,10,999,999,999,1,999,999,999,999,1,7,9,5,5,9,1,999,10,9,999,999,5,10,10,999,999,10,10,999,1,5,1,1,1,5,5,7,999,999,999,2,6,999,999,999,7,10,10,10,3,1,10,999,999,999,5,999,999,999,10,999,3,999,5,1,10,999,999,999,999,7,999,999,999,999,5,999,9,999,999,999,6,7,999,4,999,999,6,999,1,999,999,999,999,999,999,999,10,999,176888105,9770cfa2-82c7-4edd-b189-2ad22cf71617,18/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,17
Ben,Mkpot 1,Hunter,Yes,Male,Ejagham,1990,10,999,999,999,7,10,999,9,999,9,3,8,999,4,4,10,3,10,4,3,1,6,7,7,8,999,3,3,999,4,3,999,999,999,5,8,999,10,3,999,1,3,999,3,1,9,999,3,1,4,999,5,999,999,999,8,3,999,999,3,4,6,6,999,8,4,999,999,999,1,8,1,999,999,6,999,999,10,999,8,999,999,999,999,999,999,999,1,4,5,9,999,999,999,999,999,8,10,999,177420271,6f879a2d-f25a-4b55-b922-8bc8f2693bec,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,38
Ben,Mkpot 1,Hunter,Yes,Male,Ejagham,1990,10,999,8,999,10,10,999,9,999,10,5,10,2,7,7,6,999,10,7,999,3,9,8,9,10,999,8,10,999,7,8,999,999,999,5,8,999,10,4,999,1,10,999,8,1,2,10,10,7,8,999,10,999,999,999,5,999,999,999,9,4,9,5,999,8,7,999,999,999,999,8,2,999,999,10,999,999,10,8,8,999,999,999,999,999,999,999,8,10,9,9,999,999,999,999,999,9,10,999,177420280,94fac622-6dc2-4fb6-9056-b556b0fc6b73,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,40
Dominic,Mkpot 1,Market,Yes,Male,Other,1990,999,999,999,999,999,999,999,999,1,999,999,999,999,999,999,7,999,999,999,999,999,999,5,6,999,999,10,9,999,999,2,999,999,999,999,10,999,999,999,999,9,9,999,999,999,999,999,9,9,8,999,9,999,999,999,6,999,999,999,999,999,999,999,999,999,999,999,999,999,999,6,999,999,999,999,999,999,8,999,6,999,999,999,999,999,999,999,2,3,6,999,999,999,999,999,999,9,999,999,177435474,09ece844-8001-4a42-9f79-fde0b34f561e,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,63
