Name of the interviewer,Select village,What category of respondent are you interviewing?,"1. Introduce yourself (say your name and where you have come from)
2. Introduce the project, stating that it is a stuent project and that you are mainly interested in their preferences for different meat, including beef and chicken.
3. Hand out the consent form. Continue if they agree to partake and thus sign the form.",What is the respondent's sex?,What is the respondent's ethnicity?,What is the year of birth of the respondent?,African brush-tailed porcupine,African buffalo,African civet (bush dog),African clawless otter,African dwarf crocodile,African elephant,African golden cat,African palm civet (civet),African palm weevil,African slender-snouted crocodile,Aquatic snails (nkonkor),Ball python,Bat,Bates' pygmy antelope,Bay duiker,Beef (cow),Black guineafowl,Black-bellied pangolin,Blue duiker (frutambo),Bushfowl,Calabar angwantibo,Cameroon red-eared monkey,Carp,Catfish,Central African rock python,Chameleon,Chicken,Chicken egg,Chimpanzee,Cobra,Common periwinkle,Cricket,Cross River gorilla,Crowned monkey,Cusimanse,Dog,Dried anchovies,Drill,Duck,Eagle,Freshwater crab,Freshwater shrimp and prawn,Frog and toads,Gaboon viper,Galago (or bushbaby),Genet (crested and Cape),Giant ground pangolin,Giant land snail,Giant pouched rat,Goat,Grasshopper,Greater cane rat (cutting grass),Guinea-pig,Harnessed bushbuck,Hawk and Kite,Helmeted guineafowl,Hornbill,Hyrax,Leopard,Lobster,Mamba,Mona monkey,Mongoose,Nile crocodile,Nile Monitor,Ogilby's duiker,Owl,Parrot,Patas monkey,Pigeon,Pork,Potto,Preuss's monkey,Preuss's red colobus (Colobus monkey),Putty-nosed monkey,Rabbit,Ratel (honey badger),Red river hog,Red-capped mangabey,Sardine and pilchard,Sclater's monkey,Sheep,Shrew (okornor),Sitatunga,Small bird,Spotted-necked otter,Squirrel,Stock fish,Termite,Tilapia,Tortoise,Turaco,Turkey,Turtle,Vulture,Water chevrotain,West African mackerel (ice fish),White-bellied pangolin,Yellow-backed duiker,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
Ebri,Okwa II,Household,Yes,Female,Boki,1957,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,6,999,10,999,999,999,999,9,2,999,999,10,9,999,999,999,999,999,999,7,999,6,999,999,999,10,2,999,999,999,999,999,10,10,9,999,3,999,999,999,7,999,999,999,1,6,999,999,999,9,999,999,999,999,999,5,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,8,999,999,9,2,1,999,999,999,10,10,999,187290628,30b01c26-1d71-4fdd-9ee0-4753085d5f3f,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,552
Dominic,Aningeje,Market,Yes,Female,Ejagham,1958,10,5,6,999,999,999,999,999,999,999,8,4,999,8,8,6,8,9,6,5,3,4,6,8,4,999,10,9,5,4,3,999,5,5,5,9,1,5,999,999,4,9,999,4,4,5,999,9,8,7,999,8,5,6,999,5,999,999,999,9,999,5,6,2,7,6,999,999,5,999,8,7,5,5,5,999,4,6,5,999,999,999,999,999,999,999,999,5,1,999,2,999,5,2,999,999,9,9,999,181086854,eaf54241-dcac-408d-9143-e7a5bdef0246,03/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,114
Dominic,Okarara,Market,Yes,Male,Ejagham,1959,10,9,999,10,10,9,999,999,999,10,10,999,9,999,999,9,10,10,8,10,999,10,10,10,999,999,10,10,999,999,10,8,999,999,10,999,999,999,8,999,10,10,999,999,1,8,10,10,9,7,999,8,999,999,999,10,10,999,10,10,999,10,999,999,10,999,999,999,999,999,999,999,999,999,10,999,999,10,10,999,999,999,999,999,999,999,9,999,999,999,10,999,999,999,999,999,999,10,999,176873528,a0011b8c-9e09-4acd-a4f2-cefa8bd3eb35,18/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,10
Ebri,Okarara,Household,Yes,Female,Ejagham,1959,10,999,10,999,3,999,999,999,999,999,5,999,999,999,8,9,999,8,6,999,999,6,10,9,999,999,10,10,999,999,8,8,999,7,9,5,8,999,9,999,999,10,999,999,999,999,999,10,9,7,999,10,999,999,999,3,2,999,999,9,999,999,999,999,999,3,999,5,999,999,5,1,999,999,999,999,999,7,999,2,999,999,2,999,1,999,4,7,1,5,4,2,7,999,999,999,8,10,9,176888214,7072085e-23b2-4b48-8834-56da236f4ccb,18/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,23
Ben,Ifumkpa,Hunter,Yes,Male,Ejagham,1959,10,1,6,999,4,1,8,3,10,10,999,10,999,3,3,8,6,10,9,10,999,7,10,10,10,999,3,10,2,2,9,999,999,2,10,8,9,999,3,999,8,10,999,3,2,9,10,8,8,9,999,10,999,9,999,10,3,8,999,10,999,2,999,999,7,4,999,999,999,999,8,3,999,2,999,9,2,10,2,9,999,999,1,999,7,999,8,10,999,8,7,3,999,999,999,10,8,10,999,182830029,6a6e9f6a-4a36-4ab8-be99-63937d3dcd76,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,133
Ebri,Ifumkpa,Household,Yes,Female,Efut,1959,10,2,999,4,999,6,1,999,999,6,8,999,3,3,999,9,999,6,999,7,999,4,9,9,999,999,9,10,999,999,8,2,999,4,2,999,7,6,8,999,999,10,999,999,999,999,999,8,999,10,2,6,999,999,7,8,7,999,999,10,999,999,999,6,999,999,999,999,999,999,9,5,999,3,5,2,1,3,999,3,999,7,3,999,999,1,999,9,4,999,9,999,999,8,999,999,999,10,1,182837302,59d3bbf8-2739-433d-b8aa-5b13a18f73cb,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,151
Ben,Okwa I,Hunter,Yes,Male,Boki,1959,10,999,999,999,999,999,999,8,999,999,999,8,4,999,999,5,999,10,9,999,999,8,7,999,8,999,10,8,999,999,999,999,999,999,999,999,7,999,6,999,7,999,999,7,999,6,999,999,999,999,999,999,999,999,999,5,7,999,999,999,8,999,8,999,8,8,999,999,999,999,9,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,999,999,999,8,999,999,999,999,5,5,10,999,187290393,fd52c948-e51d-489c-82d9-0d306c69d42c,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,527
Ebri,Mkpot 1,Household,Yes,Female,Ejagham,1960,10,999,999,999,5,6,999,999,999,9,999,999,4,2,7,999,999,10,999,999,999,10,10,3,999,999,9,5,999,999,3,999,999,999,5,999,999,5,2,999,6,6,999,999,2,3,4,9,5,2,9,2,9,4,2,9,7,999,1,6,2,10,7,5,3,999,999,999,999,999,999,10,999,999,5,999,999,10,999,999,999,999,999,999,5,999,4,4,1,9,9,999,999,999,999,999,5,10,4,177721070,f2eb5dc1-7760-4209-b4cd-6b7994828079,22/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,86
Ben,Aningeje,Hunter,Yes,Male,Ejagham,1960,10,999,999,999,2,7,999,10,999,999,999,3,999,1,999,7,999,3,999,10,999,10,2,9,999,10,999,6,999,999,5,999,999,999,4,999,5,8,999,999,999,5,999,999,999,8,999,999,4,10,999,9,999,8,999,10,999,999,999,5,999,4,999,999,999,6,999,999,999,999,999,999,999,999,999,999,999,999,7,999,999,999,1,999,999,999,999,999,999,999,5,999,999,999,999,2,999,2,999,181085929,01c61631-34d7-441a-9cac-e7583eafbf08,03/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,88
Dominic,Utanga,Market,Yes,Male,Other,1960,9,1,999,999,8,1,1,999,1,999,999,10,999,10,10,10,1,10,8,1,999,10,9,9,1,999,10,10,1,10,999,999,999,999,9,1,1,999,2,1,1,2,999,10,10,999,999,2,9,1,999,2,999,2,8,1,7,999,999,8,7,8,999,1,999,2,999,2,999,999,6,10,2,999,1,999,999,10,9,999,999,10,999,7,999,1,8,1,999,8,999,9,999,999,999,10,10,10,10,187221959,a6e55328-ec1c-42b8-a574-63162edacef0,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,395
