"animal","type.respondent","category","median.score"
"Red-capped mangabey","Market","Wild meat",8
"Sardine and pilchard","Household","Fish",4
"Sardine and pilchard","Hunter","Fish",5
"Sardine and pilchard","Market","Fish",7
"Sclater's monkey","Household","Wild meat",3
"Sclater's monkey","Hunter","Wild meat",10
"Sclater's monkey","Market","Wild meat",4
"Sheep","Household","Domestic meat",6
"Sheep","Hunter","Domestic meat",7
"Sheep","Market","Domestic meat",6
"Shrews","Household","Wild meat",6
"Shrews","Hunter","Wild meat",7
"Shrews","Market","Wild meat",6
"Sitatunga","Household","Wild meat",5
"Sitatunga","Hunter","Wild meat",7
"Sitatunga","Market","Wild meat",7
"Slender-snouted crocodile","Household","Wild meat",7
"Slender-snouted crocodile","Hunter","Wild meat",9
"Slender-snouted crocodile","Market","Wild meat",6
"Small birds","Household","Wild meat",3
"Small birds","Hunter","Wild meat",4
"Small birds","Market","Wild meat",1
"Squirrels","Household","Wild meat",5
"Squirrels","Hunter","Wild meat",7
"Squirrels","Market","Wild meat",6
"Stock fish","Household","Fish",7
"Stock fish","Hunter","Fish",8
"Stock fish","Market","Fish",6
"Termite","Household","Invertebrate",5
"Termite","Hunter","Invertebrate",7
"Termite","Market","Invertebrate",2
"Tilapia","Household","Fish",5
"Tilapia","Hunter","Fish",9
"Tilapia","Market","Fish",7
"Tortoises","Household","Wild meat",7
"Tortoises","Hunter","Wild meat",8
"Tortoises","Market","Wild meat",5
"Turacos","Household","Wild meat",2.5
"Turacos","Hunter","Wild meat",8
"Turacos","Market","Wild meat",7
"Turkey","Household","Domestic meat",6
"Turkey","Hunter","Domestic meat",7
"Turkey","Market","Domestic meat",7
"Turtles","Household","Wild meat",5
"Turtles","Hunter","Wild meat",7
"Turtles","Market","Wild meat",5
"Vultures","Household","Wild meat",1.5
"Vultures","Market","Wild meat",3
"Water chevrotain","Household","Wild meat",6
"Water chevrotain","Hunter","Wild meat",8
"Water chevrotain","Market","Wild meat",7
"West African mackerel","Household","Fish",8
"West African mackerel","Hunter","Fish",8
"West African mackerel","Market","Fish",8
"White-bellied pangolin","Household","Wild meat",10
"White-bellied pangolin","Hunter","Wild meat",10
"White-bellied pangolin","Market","Wild meat",10
"Yellow-backed duiker","Household","Wild meat",3
"Yellow-backed duiker","Hunter","Wild meat",6.5
"Yellow-backed duiker","Market","Wild meat",6
