"name.interviewer","village","type.respondent","sex","ethnicity","dob","animal","score","X_id","comm.type","category","number"
"Dominic","Okarara","Market","Female","Ejagham",1982,"Lobsters",1,176873470,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Mona monkey",8,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Nile crocodile",10,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Potto",10,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Preuss's red colobus",4,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Putty-nosed monkey",3,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Rabbits",5,176873470,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Red river hog",4,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Red-capped mangabey",9,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Shrews",8,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Squirrels",9,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Stock fish",5,176873470,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Tortoises",10,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"White-bellied pangolin",3,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"African brush-tailed porcupine",3,176873474,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Beef",2,176873474,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Black-bellied pangolin",10,176873474,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Chicken",8,176873474,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Chicken egg",7,176873474,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Common periwinkle",5,176873474,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Dog",2,176873474,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Freshwater shrimps",7,176873474,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Giant land snail",9,176873474,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Goat",2,176873474,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Greater cane rat",8,176873474,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Red river hog",4,176873474,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"Stock fish",6,176873474,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1978,"White-bellied pangolin",10,176873474,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"African brush-tailed porcupine",10,176873482,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Aquatic snail",1,176873482,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Beef",6,176873482,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Carp",10,176873482,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Catfish",10,176873482,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Chicken",5,176873482,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Chicken egg",3,176873482,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Common periwinkle",4,176873482,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Freshwater crab",2,176873482,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Freshwater shrimps",9,176873482,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Giant land snail",10,176873482,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Goat",6,176873482,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Greater cane rat",8,176873482,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Red river hog",8,176873482,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Sheep",7,176873482,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1998,"Stock fish",9,176873482,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"African brush-tailed porcupine",10,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"African elephant",10,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"African palm civet",10,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Slender-snouted crocodile",7,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Aquatic snail",1,176873484,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Bats",1,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Bates' pygmy antelope",9,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Beef",1,176873484,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Black-bellied pangolin",10,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Blue duiker",8,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Bushfowls",1,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Calabar angwantibo",7,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Carp",3,176873484,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Catfish",3,176873484,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Chicken",10,176873484,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Chicken egg",5,176873484,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Common periwinkle",1,176873484,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Cricket",1,176873484,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Cross River gorilla",5,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Anchovy",3,176873484,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Drill",5,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Freshwater crab",1,176873484,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Freshwater shrimps",1,176873484,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Crested genet",8,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Giant pangolin",10,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Giant land snail",9,176873484,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Giant pouched rat",1,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Goat",6,176873484,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Grasshoppers",7,176873484,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Greater cane rat",8,176873484,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1987,"Guinea pig",4,176873484,"Border","Domestic meat",1
